heCode,frontendNameBefore,frontendNameAfter,backendSource,backendCode,backendTitle,derivedFrom,imageUrl,imageExists,originalImageUrl,originalImageExists,missingFields,status
HE-N-B-M12,九首彩凤白底圆绣片,九首彩凤白底圆绣片,word,HE-N-B-M12,九首凤圆片汉绣,,/patterns-transparent/HE-N-B-M12.png,true,/patterns/HE-N-B-M12.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-M01,鸿图大展双狮戏绣球汉绣,鸿图大展双狮戏绣球汉绣,word,HE-N-B-M01,鸿图大展双狮戏绣球汉绣,,/patterns-transparent/HE-N-B-M01.png,true,/patterns/HE-N-B-M01.png,true,,OK
HE-N-B-B10,三色牡丹黑底装饰绣片,三色牡丹黑底装饰绣片,word,HE-N-B-B10,三色牡丹黑底绣片,,/patterns-transparent/HE-N-B-B10.png,true,/patterns/HE-N-B-B10.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-B03,丹凤牡丹圆框汉绣,丹凤牡丹圆框汉绣,extra-word,HE-N-B-B03,丹凤牡丹圆框汉绣,,/patterns-transparent/HE-N-B-B03.png,true,/patterns/HE-N-B-B03.png,true,,OK
HE-H-S-M12,鸳鸯荷花繁花汉绣,鸳鸯荷花繁花汉绣,word,HE-H-S-M12,九龙戏珠浅蓝底大幅汉绣,,/patterns-transparent/HE-H-S-M12.png,true,/patterns/HE-H-S-M12.png,true,,OK
HE-N-B-B09,黑底五福捧寿圆团花绣,黑底五福捧寿圆团花绣,word,HE-N-B-B09,五福捧寿团花绣,,/patterns-transparent/HE-N-B-B09.png,true,/patterns/HE-N-B-B09.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-H-S-B08,军运兵兵江城地标深蓝底纪念汉绣,军运兵兵江城地标深蓝底纪念汉绣,word,HE-H-S-B08,军运会兵兵深蓝底纪念方形绣片,,/patterns-transparent/HE-H-S-B08.png,true,/patterns/HE-H-S-B08.png,true,,OK
HE-N-B-R03,凤栖牡丹橙底汉绣,凤栖牡丹橙底汉绣,parsed-doc,HE-N-B-R03,凤栖牡丹橙底汉绣：,,/patterns-transparent/HE-N-B-R03.png,true,/patterns/HE-N-B-R03.jpg,true,,OK
HE-N-S-M01,凤鸣楚天群凤横向壁挂汉绣,凤鸣楚天群凤横向壁挂汉绣,extra-word,HE-N-S-M01,凤鸣楚天群凤汉绣,,/patterns-transparent/HE-N-S-M01.png,true,/patterns/HE-N-S-M01.png,true,,OK
HE-N-L-R02,半开粉荷白底汉绣,半开粉荷白底汉绣,parsed-doc,HE-N-L-R02,半开粉荷白底汉绣：,,/patterns-transparent/HE-N-L-R02.png,true,/patterns/HE-N-L-R02.png,true,,OK
HE-N-B-R01,双狮戏绣球圆框汉绣,双狮戏绣球圆框汉绣,parsed-doc,HE-N-B-R01,双狮戏绣球圆框汉绣：,,/patterns-transparent/HE-N-B-R01.png,true,/patterns/HE-N-B-R01.png,true,,OK
HE-N-B-B01,双龙捧寿银线汉绣,双龙捧寿银线汉绣,word,HE-N-B-B01,双龙捧寿银线汉绣,,/patterns-transparent/HE-N-B-B01.png,true,/patterns/HE-N-B-B01.png,true,,OK
HE-N-S-M04,古黄鹤楼彩凤群鹤竖幅装饰汉绣,古黄鹤楼彩凤群鹤竖幅装饰汉绣,extra-word,HE-N-S-M04,古黄鹤楼彩凤群鹤竖幅汉绣,,/patterns-transparent/HE-N-S-M04.png,true,/patterns/HE-N-S-M04.jpg,true,,OK
HE-H-S-R02,红底古黄鹤楼群鹤方形绣片,红底古黄鹤楼群鹤方形绣片,extra-word,HE-H-S-R02,古黄鹤楼群鹤汉绣,,/patterns-transparent/HE-H-S-R02.png,true,/patterns/HE-H-S-R02.jpg,true,,OK
HE-N-B-M03,喜迎二十大金凤和平牡丹主题汉绣,喜迎二十大金凤和平牡丹主题汉绣,word,HE-N-B-M03,喜迎二十大金凤和平牡丹主题汉绣,,/patterns-transparent/HE-N-B-M03.png,true,/patterns/HE-N-B-M03.png,true,,OK
HE-H-S-A02,圆框金线黄鹤楼山水汉绣,圆框金线黄鹤楼山水汉绣,extra-word,HE-H-S-A02,圆形框黄鹤楼山水汉绣,,/patterns-transparent/HE-H-S-A02.png,true,/patterns/HE-H-S-A02.png,true,,OK
HE-N-B-M14,五彩彩凤祥云局部绣片,五彩彩凤祥云局部绣片,word,HE-N-B-M14,彩羽凤凰云纹局部绣,,/patterns-transparent/HE-N-B-M14.png,true,/patterns/HE-N-B-M14.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-B04,旭日金龙戏珠蓝底汉绣,旭日金龙戏珠蓝底汉绣,parsed-doc,HE-N-B-B04,旭日金龙戏珠蓝底汉绣：,,/patterns-transparent/HE-N-B-B04.png,true,/patterns/HE-N-B-B04.jpg,true,,OK
HE-N-B-M05,松鹤延年圆形框装汉绣,松鹤延年圆形框装汉绣,extra-word,HE-N-B-M05,松鹤延年圆框汉绣,,/patterns-transparent/HE-N-B-M05.png,true,/patterns/HE-N-B-M05.png,true,,OK
HE-N-S-A01,楚凤江城图圆框汉绣,楚凤江城图圆框汉绣,word,HE-N-S-A01,楚凤江城图圆框汉绣,,/patterns-transparent/HE-N-S-A01.png,true,/patterns/HE-N-S-A01.png,true,,OK
HE-H-L-M10,楚式对称凤鹿复古白地汉绣,楚式对称凤鹿复古白地汉绣,parsed-doc,HE-H-L-M10,楚式对称龙凤鹿纹白地汉绣：,,/patterns-transparent/HE-H-L-M10.png,true,/patterns/HE-H-L-M10.png,true,,OK
HE-N-B-B14,橄榄绿底双鹤朝日圆台屏绣芯,橄榄绿底双鹤朝日圆台屏绣芯,extra-word,HE-N-B-B14,橄榄绿底双鹤红日圆台屏绣片,,/patterns-transparent/HE-N-B-B14.png,true,/patterns/HE-N-B-B14.jpg,true,,OK
