status,sourceFile,sourceName,rawCode,finalHeCode,pageName,imageUrl,wordSource,wordCode,wordTitle,matchScore,era,carrier,craft,meaning
REVIEW,1. 九首凤圆片汉绣：HE-N-B-M12.png,九首凤圆片汉绣,HE-N-B-M12,HE-N-B-M12,九首凤圆片汉绣：,/patterns-transparent/HE-N-B-M12.png,complete,HE-N-B-M12,九首凤圆片汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,HE-N-B-M01大展宏图-太狮少狮.png,大展宏图-太狮少狮,HE-N-B-M01,HE-N-B-M01,大展宏图-太狮少狮,/patterns-transparent/HE-N-B-M01.png,complete,HE-N-B-M01,鸿图大展双狮戏绣球汉绣：,0.396,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,三色牡丹黑底绣片：HE-N-B-B10.jpg,三色牡丹黑底绣片,HE-N-B-B10,HE-N-B-B10,三色牡丹黑底绣片：,/patterns-transparent/HE-N-B-B10.png,complete,HE-N-B-B10,三色牡丹黑底绣片：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,丹凤牡丹圆框汉绣：HE-N-B-B03.png,丹凤牡丹圆框汉绣,HE-N-B-B03,HE-N-B-B03,丹凤牡丹圆框汉绣,/patterns-transparent/HE-N-B-B03.png,extra,HE-N-B-B03,丹凤牡丹圆框汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,九龙戏珠浅蓝底大幅汉绣：HE-H-S-M12.png,九龙戏珠浅蓝底大幅汉绣,HE-H-S-M12,HE-H-S-M12,九龙戏珠浅蓝底大幅汉绣：,/patterns-transparent/HE-H-S-M12.png,complete,HE-H-S-M12,九龙戏珠浅蓝底大幅汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,五福捧寿团花绣：HE-N-B-B09.jpg,五福捧寿团花绣,HE-N-B-B09,HE-N-B-B09,五福捧寿团花绣：,/patterns-transparent/HE-N-B-B09.png,complete,HE-N-B-B09,五福捧寿团花绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,军运会吉祥物兵兵荆楚地标深蓝底汉绣：HE-H-S-B08.png,军运会吉祥物兵兵荆楚地标深蓝底汉绣,HE-H-S-B08,HE-H-S-B08,军运会兵兵深蓝底纪念方形绣片：,/patterns-transparent/HE-H-S-B08.png,complete,HE-H-S-B08,军运会兵兵深蓝底纪念方形绣片：,0.661,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,凤栖牡丹橙底汉绣：HE-N-B-R03.jpg,凤栖牡丹橙底汉绣,HE-N-B-R03,HE-N-B-R03,凤栖牡丹橙底汉绣：,/patterns-transparent/HE-N-B-R03.png,complete,HE-N-B-R03,凤栖牡丹橙底汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,凤鸣楚天群凤汉绣：HE-N-S-M01.png,凤鸣楚天群凤汉绣,HE-N-S-M01,HE-N-S-M01,凤鸣楚天群凤汉绣,/patterns-transparent/HE-N-S-M01.png,extra,HE-N-S-M01,凤鸣楚天群凤汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,半开粉荷白底汉绣：HE-N-L-R02.png,半开粉荷白底汉绣,HE-N-L-R02,HE-N-L-R02,半开粉荷白底汉绣：,/patterns-transparent/HE-N-L-R02.png,complete,HE-N-L-R02,半开粉荷白底汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,双狮戏绣球圆框汉绣：HE-N-B-R01.png,双狮戏绣球圆框汉绣,HE-N-B-R01,HE-N-B-R01,双狮戏绣球圆框汉绣,/patterns-transparent/HE-N-B-R01.png,complete,HE-N-B-R01,双狮戏绣球圆框汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,双龙捧寿银线汉绣HE-N-B-B01.png,双龙捧寿银线汉绣,HE-N-B-B01,HE-N-B-B01,双龙捧寿银线汉绣：,/patterns-transparent/HE-N-B-B01.png,complete,HE-N-B-B01,双龙捧寿银线汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,古黄鹤楼彩凤群鹤竖幅汉绣：HE-N-S-M04.jpg,古黄鹤楼彩凤群鹤竖幅汉绣,HE-N-S-M04,HE-N-S-M04,古黄鹤楼彩凤群鹤竖幅汉绣,/patterns-transparent/HE-N-S-M04.png,extra,HE-N-S-M04,古黄鹤楼彩凤群鹤竖幅汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
