"fileName","sourcePath","nameZh","rawHeCode","standardHeCode","patternCategory","meaningCategory","colorCategory","sequence","period","region","carrier","technique","source","copyright","wordMatched","importStatus"
"1. 九首凤圆片汉绣：HE-N-B-M12.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\1. 九首凤圆片汉绣：HE-N-B-M12.png","九首凤圆片汉绣","HE-N-B-M12","HE-NB-M12","N","B","M","12","","","","","","","false","ready-for-word-info"
"HE-N-B-M01大展宏图-太狮少狮.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\HE-N-B-M01大展宏图-太狮少狮.png","大展宏图-太狮少狮","HE-N-B-M01","HE-NB-M01","N","B","M","01","","","","","","","false","ready-for-word-info"
"三色牡丹黑底绣片：HE-N-B-B10.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\三色牡丹黑底绣片：HE-N-B-B10.jpg","三色牡丹黑底绣片","HE-N-B-B10","HE-NB-B10","N","B","B","10","","","","","","","false","ready-for-word-info"
"丹凤牡丹圆框汉绣：HE-N-B-B03.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\丹凤牡丹圆框汉绣：HE-N-B-B03.png","丹凤牡丹圆框汉绣","HE-N-B-B03","HE-NB-B03","N","B","B","03","","","","","","","false","duplicate-code-needs-review"
"九龙戏珠浅蓝底大幅汉绣：HE-H-S-M12.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\九龙戏珠浅蓝底大幅汉绣：HE-H-S-M12.png","九龙戏珠浅蓝底大幅汉绣","HE-H-S-M12","HE-HS-M12","H","S","M","12","","","","","","","false","ready-for-word-info"
"五福捧寿团花绣：HE-N-B-B09.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\五福捧寿团花绣：HE-N-B-B09.jpg","五福捧寿团花绣","HE-N-B-B09","HE-NB-B09","N","B","B","09","","","","","","","false","ready-for-word-info"
"军运会吉祥物兵兵荆楚地标深蓝底汉绣：HE-H-S-B08.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\军运会吉祥物兵兵荆楚地标深蓝底汉绣：HE-H-S-B08.png","军运会吉祥物兵兵荆楚地标深蓝底汉绣","HE-H-S-B08","HE-HS-B08","H","S","B","08","","","","","","","false","ready-for-word-info"
"凤栖牡丹橙底汉绣：HE-N-B-R03.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\凤栖牡丹橙底汉绣：HE-N-B-R03.jpg","凤栖牡丹橙底汉绣","HE-N-B-R03","HE-NB-R03","N","B","R","03","","","","","","","false","ready-for-word-info"
"凤鸣楚天群凤汉绣：HE-N-S-M01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\凤鸣楚天群凤汉绣：HE-N-S-M01.png","凤鸣楚天群凤汉绣","HE-N-S-M01","HE-NS-M01","N","S","M","01","","","","","","","false","ready-for-word-info"
"半开粉荷白底汉绣：HE-N-L-R02.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\半开粉荷白底汉绣：HE-N-L-R02.png","半开粉荷白底汉绣","HE-N-L-R02","HE-NL-R02","N","L","R","02","","","","","","","false","ready-for-word-info"
"双狮戏绣球圆框汉绣：HE-N-B-R01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\双狮戏绣球圆框汉绣：HE-N-B-R01.png","双狮戏绣球圆框汉绣","HE-N-B-R01","HE-NB-R01","N","B","R","01","","","","","","","false","duplicate-code-needs-review"
